Date,HomeTeam,AwayTeam,Bet,Odds,EV,ActualResult,Profit,Won
2025-09-26,Girona,Espanol,draw,3.3,0.13302315497917028,draw,2.3,True
2025-09-27,Ath Madrid,Real Madrid,away,2.3,0.28344214109028454,home,-1.0,False
2025-09-27,Getafe,Levante,draw,3.1,0.06523539645488041,draw,2.1,True
2025-09-27,Mallorca,Alaves,home,2.35,0.03390207691901881,home,1.35,True
2025-09-27,Villarreal,Ath Bilbao,home,2.1,0.09314169815870144,home,1.1,True
2025-09-28,Vallecano,Sevilla,draw,3.3,0.05581518764101978,away,-1.0,False
2025-09-28,Barcelona,Sociedad,home,1.27,0.04596780414203083,home,0.27,True
2025-09-30,Valencia,Oviedo,away,5.5,0.1315840336657661,away,4.5,True
2025-10-03,Osasuna,Getafe,home,2.15,0.19118663288499027,home,1.15,True
2025-10-04,Girona,Valencia,draw,3.5,0.1126862063503935,home,-1.0,False
2025-10-04,Oviedo,Levante,home,2.5,0.16879651664038842,away,-1.0,False
2025-10-04,Real Madrid,Villarreal,away,6.0,0.24462573220580763,home,-1.0,False
2025-10-05,Sociedad,Vallecano,draw,3.6,0.06081019992580061,away,-1.0,False
2025-10-05,Sevilla,Barcelona,draw,5.25,0.07656934242605451,home,-1.0,False
2025-10-05,Espanol,Betis,away,2.63,0.1507957288461601,away,1.63,True
2025-10-05,Celta,Ath Madrid,draw,3.8,0.061759845589994145,draw,2.8,True
2025-10-05,Alaves,Elche,home,2.3,0.17352015670871546,home,1.2999999999999998,True
2025-10-17,Oviedo,Espanol,home,3.0,0.23359154769412638,away,-1.0,False
2025-10-18,Ath Madrid,Osasuna,away,8.5,0.09830253048879234,home,-1.0,False
2025-10-18,Villarreal,Betis,away,4.0,0.1570287196295621,draw,-1.0,False
2025-10-19,Levante,Vallecano,home,2.88,0.12251410460825829,away,-1.0,False
2025-10-19,Getafe,Real Madrid,away,1.42,0.04607703066064994,away,0.41999999999999993,True
2025-10-19,Elche,Ath Bilbao,away,2.1,0.14273711357121144,draw,-1.0,False
2025-10-19,Celta,Sociedad,home,2.1,0.06985767399763487,draw,-1.0,False
2025-10-24,Sociedad,Sevilla,draw,3.5,0.14824051173518749,home,-1.0,False
2025-10-25,Ath Bilbao,Getafe,home,1.67,0.14206893453579883,away,-1.0,False
2025-10-25,Espanol,Elche,home,1.95,0.10159008321562424,home,0.95,True
2025-10-25,Girona,Oviedo,away,4.75,0.18329716907331473,draw,-1.0,False
2025-10-25,Valencia,Villarreal,away,2.2,0.06136578334136766,away,1.2000000000000002,True
2025-10-26,Vallecano,Alaves,home,2.1,0.04815619140806615,home,1.1,True
2025-10-26,Real Madrid,Barcelona,away,3.3,0.2657827105190236,home,-1.0,False
2025-10-26,Mallorca,Levante,draw,3.3,0.031132960215708216,draw,2.3,True
2025-10-26,Osasuna,Celta,home,2.35,0.09161811035626033,away,-1.0,False
2025-11-01,Sociedad,Ath Bilbao,away,2.8,0.22521222558650922,home,-1.0,False
2025-11-01,Villarreal,Vallecano,home,1.7,0.0630458897809274,home,0.7,True
2025-11-02,Levante,Celta,draw,3.4,0.14470951185756897,away,-1.0,False
2025-11-02,Alaves,Espanol,home,2.38,0.053877995428768255,home,1.38,True
2025-11-03,Oviedo,Osasuna,home,3.0,0.08562195751654778,draw,-1.0,False
2025-11-07,Elche,Sociedad,draw,3.2,0.07924383046150196,draw,2.2,True
2025-11-08,Espanol,Villarreal,away,2.38,0.29229488033467743,away,1.38,True
2025-11-08,Girona,Alaves,draw,3.25,0.037513649622091805,home,-1.0,False
2025-11-08,Sevilla,Osasuna,away,3.5,0.05856310024712563,home,-1.0,False
2025-11-09,Vallecano,Real Madrid,away,1.5,0.12609427419869101,draw,-1.0,False
2025-11-09,Valencia,Betis,draw,3.4,0.0519304409014274,draw,2.4,True
2025-11-09,Celta,Barcelona,away,1.65,0.10032972350613312,away,0.6499999999999999,True
2025-11-09,Ath Bilbao,Oviedo,away,8.0,0.07516487868086497,home,-1.0,False
2025-11-09,Mallorca,Getafe,home,2.5,0.06751568288585741,home,1.5,True
2025-11-21,Valencia,Levante,home,2.0,0.06167355650241979,home,1.0,True
2025-11-22,Villarreal,Mallorca,home,1.44,0.06427370642094532,home,0.43999999999999995,True
2025-11-22,Osasuna,Sociedad,home,2.8,0.2536995637290407,away,-1.0,False
2025-11-23,Elche,Real Madrid,away,1.38,0.034991585380102164,draw,-1.0,False
2025-11-23,Oviedo,Vallecano,home,3.5,0.38261300571264445,draw,-1.0,False
2025-11-23,Getafe,Ath Madrid,away,1.73,0.03275206476416592,away,0.73,True
2025-11-23,Betis,Girona,draw,4.33,0.059451427180527316,draw,3.33,True
2025-11-28,Getafe,Elche,home,2.25,0.11358296304104787,home,1.25,True
2025-11-29,Ath Madrid,Oviedo,away,17.0,0.3643073907417813,home,-1.0,False
2025-11-29,Levante,Ath Bilbao,away,2.15,0.04231102968033462,away,1.15,True
2025-11-30,Girona,Real Madrid,draw,5.25,0.037739004911171214,draw,4.25,True
2025-11-30,Sevilla,Betis,away,2.38,0.0857671522543264,away,1.38,True
2025-11-30,Sociedad,Villarreal,away,2.45,0.29291862031905924,away,1.4500000000000002,True
2025-12-03,Ath Bilbao,Real Madrid,away,1.8,0.15723969255004588,away,0.8,True
2025-12-05,Oviedo,Mallorca,home,2.55,0.14587607043975237,draw,-1.0,False
2025-12-06,Betis,Barcelona,away,1.73,0.06764419335162941,away,0.73,True
2025-12-06,Villarreal,Getafe,home,1.62,0.23579362367987056,home,0.6200000000000001,True
2025-12-06,Ath Bilbao,Ath Madrid,away,2.25,0.13890021650826312,home,-1.0,False
2025-12-07,Valencia,Sevilla,home,2.15,0.08302579105213503,draw,-1.0,False
2025-12-07,Real Madrid,Celta,home,1.3,0.06262747565829407,away,-1.0,False
2025-12-07,Elche,Girona,draw,3.3,0.15205198775382156,home,-1.0,False
2025-12-07,Espanol,Vallecano,home,2.25,0.03761585064365902,home,1.25,True
2025-12-08,Osasuna,Levante,draw,3.8,0.05832874066983229,home,-1.0,False
2025-12-12,Sociedad,Girona,draw,3.9,0.11097202782517446,away,-1.0,False
2025-12-13,Ath Madrid,Valencia,away,11.0,0.16018517795430798,home,-1.0,False
2025-12-13,Mallorca,Elche,home,2.45,0.1317599519850563,home,1.4500000000000002,True
2025-12-14,Alaves,Real Madrid,away,1.6,0.17577971417887617,away,0.6000000000000001,True
2025-12-15,Vallecano,Betis,away,2.75,0.17572417156339792,draw,-1.0,False
2025-12-20,Levante,Sociedad,draw,3.4,0.2529996254506859,draw,2.4,True
2025-12-20,Osasuna,Alaves,home,2.2,0.10147319709338465,home,1.2000000000000002,True
2025-12-20,Oviedo,Celta,draw,3.4,0.059620065036948056,draw,2.4,True
2025-12-21,Villarreal,Barcelona,draw,4.75,0.10145444899557177,away,-1.0,False
2025-12-21,Betis,Getafe,home,1.7,0.14690725631192025,home,0.7,True
2025-12-22,Ath Bilbao,Espanol,away,5.0,0.04323292327535255,away,4.0,True
2026-01-02,Vallecano,Getafe,home,2.05,0.13557594153695063,draw,-1.0,False
2026-01-03,Celta,Valencia,home,2.0,0.08649865367830656,home,1.0,True
